,host_response_rate,host_acceptance_rate,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
2003,0,0,1,2,4,1.0,1,2,1,220,0,0,0,2,60,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Greg was a nice guy. He definitely made us feel welcome and offered us to use any/all of the amenities his condo had to offer. The roof top deck was my favorite part. I wish the description was more accurate. The listing said there were 2 bedrooms with 2 separate beds. Granted, our host was moving within the week overseas, but then his profile should have been updated saying so. For the price I paid, 2 blow up mattress, (one that had a hole in it) and no furniture was not my ideal setup for a vacation. I do feel we should have been reimbursed some of the money we spent. All in all, it was a place to sleep which is really all we needed for our short stay. "
2005,100,100,2,2,2,1.0,1,2,1,45,0,0,20,47,83,3,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Really nice place, Sarah was very responsive to messages which help us a lot, because I booked another apartment downtown, but when I arrived the host wasn''t there and didn''t answer my calls, so we have to run to get another place and 30 mins later we were on Sarah''s place.

Thank you so much Sarah"
2006,91,94,1,1,2,1.0,0,1,1,219,0,0,0,22,90,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,"Loved this place and the area was perfect. Much like staying at a hotel, but easier and cleaner. Would definitely stay here again. "
2007,0,0,4,1,2,1.0,1,1,1,175,0,0,0,1,100,2,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"This entire trip was incredible - I can''t say enough wonderful things. I was absolutely smitten with the condo itself (beautiful hard wood flooring, gorgeous views, the exposed brick in the bedroom) . It was perfectly located and close to both the Back Bay area and Cambridge. Annalisa was also the perfect hostess. Even though I had had a slight snag in my travel plans, she was very flexible and accommodating.  I would highly recommend both Annalisa and this unit. "
2008,100,90,1,2,2,1.0,1,1,1,95,0,0,0,32,97,3,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,"This was my first time to book with Airbnb and I found it the whole experience to be GREAT. Tayler made arrangements for me to pick up the keys.  The apartment was neat and clean, with a great bed and hot shower. The is relevant it snowed in April!  The North End location was perfect, because I was attending events at TD garden arena. The TD, the Freedom Trail, many historical sites, and the BEST  Italian food was were all in walking distance. Tayler  is a nice person and made me feel welcome. "
2009,0,0,1,1,3,1.0,0,1,1,139,0,0,0,38,76,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"We stayed as a group of 3 girls for 3 nights. The arrival instructions were quite clear and we arrived without a hitch. However i would only suggest to stay here with 1 or 2 people as it was much too cramped and small for 3. Communication with David was not very good via email, however we didn''t try ringing or texting. If you are after basic facilities and don''t plan on being in the room too much then this place is fine. The location is fantastic and very close to a subway stop. It would have been nice for David to have some info about the area in the apartment as there wasn''t any."
2010,0,0,4,1,2,1.0,1,1,1,179,0,0,30,2,100,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"Communicating with Abhishek was very easy, he responded quickly and the condo was exactly as described.  He even left some sweets for us to enjoy when we arrived.  I stayed here with my husband and 2 year old daughter and had more than enough space.  The location was an easy walk to many of the the places we wanted to go; Faneuil Hall, the Children''s Museum, Aquarium, etc.  It was wonderful having a comfortable and convenient home base for our weekend in Boston."
2011,0,0,1,1,4,2.0,2,2,1,500,0,0,0,13,95,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"Siamo stati molto soddisfatti dell''appartamento che è più bello che in foto.  La vista è magnifica ed è arredato molto bene. L''accoglienza è stata perfetta con anche pick up in aeroporto (ringraziamo la madre di Matthew) e il frigo pieno di bevande.
La zona è splendida, centrale con un grande parco, vicina a molti punti di interesse. Tutto ok ci ritornerò sicuramente il prossimo anno in occasione di una mia prevista visita a Boston"
2012,100,75,1,2,1,1.0,1,1,1,85,0,0,20,22,99,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Notre séjour d''un mois chez Jill Hallisey s''est passé sans fausse note. Jill est simple, directe, positive, chaleureuse. Elle a son travail, ses engagements humanitaires, elle est très indépendante, mais elle reste à l''écoute et elle n''a jamais laissé passer une occasion de nous rendre service ou de nous renseigner tout en respectant notre autonomie. Nous étions à Boston afin de prendre des repères pour un roman;  après les heures de marche dans la ville, c''était un plaisir de retrouver cette maison tranquille, de prendre un verre sur la terrasse, de respirer sur la pelouse, de passer les nuits dans un calme campagnard. Le centre de Jamaïca Plain, à deux cent mètres,  est vivant et animé, il regorge de petits restaurants typiques et de commerces, on y trouve un fabuleux café-épicerie-restaurant bio, des fringues originales...  Le bus pour Boston passe à cent mètres, mais dix minutes de marche vous amènent au métro. Si vous aimez l''espace et la nature, un lac vous attend au bout de la rue, et le Franklin Arboretum, à cinq minutes de là, est extraordinaire. Autre point : le chat et les deux chiens sont bien vivants, les chiens sont drôles, toujours contents de vous voir, et assez obéissants. La maison et ses meubles sont patinés par le temps, mais les équipements fonctionnent vraiment correctement et l''ensemble est propre. en conclusion, nous recommandons chaudement ce bnb.
"
2013,90,83,1,1,4,1.0,2,2,1,150,0,0,0,1,80,2,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,"Emily et Carl forment une belle famille avec leur petite fille Ivy, ils sont très sympathiques et accueillants, curieux et conviviaux.
Nous nous sommes tout de suite sentis bien avec nos deux filles dans leur grand appartement vraiment chaleureux et trés ensoleillé, à 2 minutes du Franklin Park, le plus grand de Boston.
Le quartier est résidentiel, avec une aire de jeux pour enfants à 50m et la ligne orange du métro à 10mn à pied (20 mn de down town). 
Ce logement est idéal pour une famille qui souhaite vivre au plus près d''une famille de Boston,  à l''écart des hordes de touristes.
Merci à eux pour tout !!
Chloé "
2014,100,100,1,1,6,1.0,2,2,1,212,0,0,20,63,91,3,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,"Brij was a great host. He was friendly and his communication was good. Coordinating the key pick up was easy. The apartment is huge and nicely decorated with plenty of space for 6 people, and is situated in a quiet and safe neighbourhood. This listing is worth the price if you have 5 or 6 people to fill it up."
2015,94,99,2,2,4,2.0,1,1,1,81,0,0,0,23,90,2,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,"Steve was very friendly. And a great communicator, very responsive. Our room was very nice, fit our needs perfectly. Although the bathrooms were shared, and the house was full, we never had to wait. We enjoyed the international feel, since several exchange students are there -- kudos to Steve for his efforts and dedication in providing them with a nice place to live at a very reasonable price. The location was great, only a few minutes walk to the red line (fields corner). We also found a great pizza place nearby. And we enjoyed the economic and cultural diversity of the neighborhood - a nice working class one. Thanks again Steve"
2016,100,100,1,1,4,1.0,3,4,1,290,0,0,0,8,98,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Razan was a wonderful host.  We stayed at her apartment for almost three weeks, and enjoyed it so much.  The apt was clean, well appointed, and even nicer than the pictures!  
Razan had a few things in the fridge upon our arrival which was a great help, like milk, cheese, and eggs.  
Jamaica Plains is a great section on Boston.  I was here on a working trip, so I didn''t have much time to see the neighborhood, but what I saw was great.  
I would HIGHLY recommend staying here!  "
2017,100,100,1,2,1,1.0,1,1,1,107,0,0,0,1,100,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,"Alyssa was easy to work with and her apartment was lovely, clean and in a great location. I was in town for a conference and the apartment is one block from the Hynes convention center. When I first made the reservation I didn''t realize it was a shared apartment, but her two roommates were friendly and everything worked out really well. I would definitely stay here again!"
2018,100,50,1,1,2,1.0,0,1,1,120,0,0,20,6,97,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,What an amazing apartment in a great location!! Walter was very accommodating and friendly. The apartment had everything one needs to have a comfortable stay. Especially the bed was really comfy. I would definitely recommend staying here and hope to stop by again next time I'm in Boston!
2019,100,100,2,2,2,1.5,1,1,1,58,0,0,0,12,87,3,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"My stay was great! They were very welcoming and accomodating. Was far enough away from the city to get a good night''s sleep, but close enough to commute into the city for school."
2020,90,85,4,1,2,1.0,1,1,1,185,0,0,0,1,0,2,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,The host canceled this reservation 85 days before arrival. This is an automated posting.
2021,100,100,1,1,4,2.0,2,2,1,500,0,100,0,2,90,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Our stay in Boston was perfect! Elizabeth was in touch frequently leading up to our stay. We were in Boston got the marathon and it was a great location! The condo was beautiful, clean and plenty of room for the 4 of us! The added bonus was the garage parking and patio! The neighborhood was great with plenty of restaurants and grocery stores nearby! I can''t say enough about this airbnb experience. We have travelled many places and stayed in airbnb many times. Elizabeth''s place is one of the best! Thank you, Elizabeth, for your hospitality!"
2022,50,85,1,2,1,1.0,1,1,1,100,0,50,30,5,100,2,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,The host canceled this reservation 8 days before arrival. This is an automated posting.
2023,100,50,1,1,2,1.0,0,1,1,110,0,0,20,4,75,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Wonderful room and experience. Excellent area and Walter and his team were great to work with. Will be the first place I contact if I ever have a need for a long term stay in Boston 
2024,100,50,1,1,2,1.0,1,1,1,295,0,0,0,9,100,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"My wife and I stayed at the townhouse as part of our Boston Marathon (Patriots Day) vacation (yes I did participate albeit very slowly).  

Communication with Carlos was easy and straight forward.  Janice met us at the door and showed us in.  The pictures do not do justice to the space.  It is very spacious for a one bedroom townhouse!!!  

The amenities were perfect and the fully equipped kitchen was nice to prepare our own meals.   We loved the South End neighborhood.  There are many excellent local restaurants and Flour just a block away became our breakfast ritual.  Stella was nice for a group lunch with some fellow runners.  Boston Chops was a fabulous way to celebrate running 26.2 miles.

The 3/4 mile walk through the neighborhood to get to Back Bay (Boylston, Newbury, Hynes Center, etc.) was serene and just the right distance.  It''s not that much further to Fenway to watch the beloved Red Sox.  Between Uber, the bus and the T we had no problem getting around town.  The evenings were pretty quiet for being in a city.

The solarium was quite inviting during the mid afternoon and my wife took full advantage of the cozy environment during the brisk spring days.

We would highly recommend in this lovely townhouse and will try to book upon our next visit to Boston.

Btw, the bottle of wine upon arrival and the Pandora stations were a very nice touch!

Thank you Carlos!!!"
2025,100,98,2,2,3,1.0,1,1,1,65,0,0,0,14,80,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Sulian left the key for us to pick up and we got it. She also told us where to go. She is very nice. At one point the light at the bathroom does not work. She came in at 11 pm to fix it. Sulian is very good at keeping the communication smooth. The only thing is that I wish I could open the windows because the room is a bit hot at night. And the sheets do not breath very well. 
2026,100,89,1,2,1,1.0,1,1,1,84,0,0,0,29,95,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Fernande was an excellent host! She was very accommodating of my travel times and I felt very welcome in her apartment during my entire stay. We had some great conversation and she introduced to me to some her favorite restaurants in the area. The location was also fantastic - it's hard to beat staying in the North End if you want to visit Boston. Overall she helped make my visit very enjoyable. I would gladly stay with her again.
2028,100,95,2,2,2,1.0,1,1,1,100,0,0,0,20,100,2,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,My night at Aris house was perfect yet again! Thank you so much for hosting me Ari!!
2029,14,90,1,2,2,1.0,1,1,1,120,0,0,35,11,91,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"I really enjoyed my stay at Matteo''s apartment in Beacon Hill. Matteo was a great host - very friendly and helpful. The apartment was perfectly located, right off Beacon Hill. The private room was comfortable. The shared living room and bathroom were nice. The apartment was well decorated and cozy. Overall, a wonderful stay and would highly recommend it to anyone who doesn''t mind a private room in a shared apartment. The location was truly unbeatable!"
2030,0,0,1,1,2,1.0,1,1,1,250,200,75,0,1,100,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Laurel was delightful and made us feel very welcome. The apartment was spacious, comfortable, and was a short walk to most anything in Boston''s South end. Parking in the neighborhood over the weekend was also easy. I highly recommend this location."
2031,0,0,4,2,1,1.0,1,1,1,150,0,0,0,15,93,3,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,"Prasan and his wife are both very welcoming and proactively reach out to make sure their guests have what they need.  They even had flowers, walking guides, a cliff bar, and new towels for me!  The apartment looks quite beautiful and new, and has all new amenities.  And the neighborhood is quickly accessible to the rest of Boston with a free shuttle that drops off at North Station.  For people who care about bed firmness, the bed in the private room is pretty firm."
2032,100,100,2,2,1,1.0,1,1,1,33,0,0,15,16,95,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,Great place! I really enjoyed staying there. 
2033,90,69,2,2,2,0.0,1,1,1,85,0,0,0,17,94,3,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Erzähle anderen in der Airbnb-Community von Deinem Aufenthalt.
2035,100,89,1,2,2,1.0,1,1,1,65,0,0,0,1,100,2,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Jamaica Plain is an eclectic, warm and welcoming community, and Susan is the perfect host! Her apartment is truly a home and reflects her passions and life journey that has taken her around the world. We had a lovely time having tea with her in the evening after the day''s adventures. 

The Stony Brooke stop on the T subway line is a 5-minute walk through a charming neighborhood full of beautiful architecture. It''s about a 15-20 minute ride to downtown Boston. "
2036,60,100,1,2,2,1.0,1,2,1,100,0,0,100,11,90,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dan was a great host! He was very helpful and friendly, and was fun to chat with over coffee in the morning. The room was super clean and exactly as expected!"
2037,100,87,1,1,3,1.0,0,1,1,239,0,0,25,1,100,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"I stayed with my wife for a month in this place. 
This place is definitely a Gem at south end.   
Quiet and cozy with a great location,  only a 2 min walk to prudential center or mass ave. 

Richard was a great Host. "
2038,100,38,2,2,2,1.0,1,1,1,80,0,0,0,30,99,2,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Hellen was very nice host.
She was relax .She made me feel her house was my house. 
I had no issues to get to her house but make sure you have car since commute with public transportation to her place  can be difficult. 
I recommend her place and hope you enjoy it as well. 
"
2039,100,100,2,2,2,1.0,1,1,1,49,0,0,10,4,95,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Barrie and his family were wonderful hosts.   They were kind and very responsive.   The room was exactly as described and very comfortable.  The neighborhood was welcoming.  Many thanks.
2040,100,62,2,2,1,1.5,1,1,2,72,100,0,100,15,97,3,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"My stay at Kathleen''s was a fantastic experience.  She was very accommodating with my check in time. The room was warm, bed comfortable, facilities worked as expected. I found street parking not too far away."
2042,100,100,2,2,2,1.0,1,2,1,99,0,0,49,108,97,3,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Our stay at franks was excellent! Charlene greeted us with the smell of rhubarb pie on a gloomy, rainy day. The room was exactly as it was presented on the site and was very comfortable! Provided a great night sleep after a long, cold, and wet day sight seeing. It was a great first airbnb experience for my friend and I have decided that airbnb is the way to go from now on. I would definitely stay at franks again!"
2043,0,0,4,1,2,2.0,1,1,1,200,250,90,50,2,100,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Great experience! Stayed here for a month. Beautiful home. Clean, neat. Great location in South End. 25-30 minute walk to Longwood medical area. Many great restaurants within 10 min walking distance. Karen is attentive to any needs and lays out clear rules. Will not hesitate to stay here again when back in Boston. Wonderful experience. "
2044,96,78,4,2,2,1.0,1,1,1,75,0,0,0,12,100,2,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Rarely do you find an airbnb listing that is more than what the reviews or the pictures tell you. The place is very convenient, about a 10-15 min walk in a very safe neighborhood to the Forest Hills orange line station and about 30 mins away from the city center where most of the sights are. Jamaica Plains is a nice quiet neighborhood that is surrounded by amazing parks. Matt and Julia are extraordinary hosts and are very flexible with regards to the amount of interaction you want. But it would be a shame if you don''t get to know them as the walls of their house tell a wonderful story. They are very generous about local secrets and places to go. They leave tiny notes around the house to help you navigate around it even when they are not around. I even got to play fetch with the neighbors dog in their backyard. Small things like these make the airbnb experience memorable. After a crazy night in Boston their place is an oasis where you can relax and truly feel that you are on a vacation. 

My memories of Boston will always include my wonderful stay with Matt and Julia."
2045,100,76,2,2,4,1.0,1,2,1,125,0,0,50,132,97,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Everything about this stay was good! Owner, Margaret is a lovely, articulate conversationalist & hostess. My bedroom was clean and  nicely furnished, with excellent mattress and private bathroom. Also, plenty of room to park on Margaret''s driveway!"
2046,100,95,2,2,2,1.0,1,1,1,95,0,0,0,1,100,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Edwin really made me happy to stay his place. I did very late request to stay his place and had to arrive at his place at late night, however, he took care of what I needed to have while my stay in his place.
I was not really a good guest though what he had treated me was so wonderful. Lot of recommendation!"
2047,100,100,1,1,2,1.0,1,1,1,157,100,0,0,81,88,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Our stay was wonderful! While this is a basement apartment, it was quaint and well decorated, organized and quite cute! As with any place you stay, be sure to read the house rules and abide to make this stay the easiest for both parties! We made sure to read everything and it made preparation for our stay even better.. It also made things pretty self explanatory so there weren''t many questions for our host. This really is quite close to everything, and gave a great introduction for what to expect in Boston!"
2048,100,20,1,1,4,1.0,2,2,1,200,0,0,50,29,89,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,"We absolutely loved staying at Andrew''s apartment -- it''s beautiful, cozy, spacious, and located in a great neighborhood, close to transit.  Andrew was incredibly helpful in the planning stages, providing all of the needed information upfront and accommodating our arrival and departure times.  All in all, a wonderful experience!    "
2049,100,88,2,2,2,1.0,1,1,1,125,0,100,50,33,95,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Atef was a great host!  I was in a bind as had someone over-book me originally for staying in Boston and he helped me so much last minute.  I stayed in the 3rd floor room with bathroom and it was such an amazing deal!  Luxurious accomodations with beautiful art, fireplace, great windows and cute view and the AMAZING bathroom!  The multiple shower heads and heated floors were amazing.  

Atef even met me very early for a check-in at 9 a.m. as I had taken a red-eye flight.  Perfect directions and assistance for getting to and from airport (much more than you''d ever get from a hotel) and the neighborhood is safe, fun and beautiful.  My visiting friend even found reasonably close and free parking over the weekend.

There is all you could want in walking distance too - restaurants, pubs, coffee shops, shopping, massage, spas, yoga studios, public transportation and more.  I also walked to MGH and all over downtown Boston (about 30 min walk from place) with no problems.

Would definitely come back!"
2051,100,92,2,2,1,1.0,1,1,1,75,0,0,0,9,96,2,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,I love the place Andrew he was very nice and generous gay but the problem with me only because the house is far away from my school
2052,0,0,1,2,2,1.0,1,1,1,70,0,0,10,6,94,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"David was a great host—very friendly and has a good sense of humor—and the place was very clean. Comfortable bed, hot shower, complimentary breakfast, and a great location. Close enough to walk to the main street, but far enough away that you can enjoy some peace and quite! 
We would definitely stay with David again in the future."
2053,100,0,1,1,4,1.0,2,2,1,210,0,0,50,11,89,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"Jordi was very welcoming host. We never crossed paths in person, but he was very proactive in communicating with us in a very timely manner. He responded very nicely to all our texts and emails, and was very helpful in providing us with recommendations for activities and restaurants near by. The apartment was very clean, modern and spacious. The best part was the rooftop - very chill place to hang out and the view is awesome. The neighborhood was very pleasant and we could get to different parts of Boston very easily from the apartment. "
2054,100,94,1,2,1,1.0,1,1,1,105,0,0,0,56,93,2,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,"Super séjour chez Courtney. L''appartement était très propre et tout était là pour se sentir confortable et à la maison. 
Courtney est très accueillante, elle sait être la pour répondre aux différentes questions et aider tout en ne s''imposant pas. Son chien est très gentil et adorable. 
L''appartement situé à une dizaine de minutes à pieds de l''arrêt du T le plus proche (Andrew) est dans un quartier résidentiel très agréable.
Ayant séjourné à Boston durant quelques jours très chaud (près de 45°C de ressenti de température), je peux dire que l''air conditionné chez Courtney marche parfaitement et est relativement silencieux, ce qui est confortable. 
Premier séjour via airbnb et ce fut une super expérience. Ce serait avec plaisir que je retournerai chez Courtney lors d''un des mes futurs voyages à Boston! Merci pour tout!!"
2055,100,100,1,1,3,1.0,0,1,1,166,0,0,0,2,90,2,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,"Really liked the place, would stay again! "
2056,90,100,3,1,4,2.5,2,2,1,500,0,0,0,1,100,3,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,"Joseph was a wonderful host. He is thoughtful, responsive, and went out of his way to provide a superb stay.  The apt is spacious, clean and located in a prime area of Boston. The kitchen is equipped with everything you may need to cook a fabulous meal. We enjoyed a quiet and restful sleep in the comfy bed. Thank you, Joseph, for making sure everything was seamless. "
2057,100,100,2,2,4,1.0,1,2,1,115,0,0,10,10,80,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,"Magnifique chambre pour 4 munie d''une grande télévision et aussi d''une petite salle de lavage privée. Les toilettes ainsi que le salon et la cuisine sont partagé avec les 2 autres locataires de l''appartement. La plupart des items nécessaire pour cuisiner et pour laver la vaisselle sont fournit.  À 15 minutes de voiture du centre ville de Boston, c''est un emplacement idéale pour utiliser le transport en commun. Belle expérience en général, idéal si cela ne vous dérange pas de partager une partie de l''appartement avec quelques inconnus."
2058,100,82,1,1,4,1.0,1,2,1,125,200,50,10,190,91,2,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Great place, amazing location!
"
2059,90,67,1,2,2,1.0,1,1,1,125,0,0,0,1,100,2,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Khuyen is a great host, very friendly and extremely accommodating. We had a great time chatting away late into the night! 
He even took us out to his favourite crab restaurant in town. 

We wish him the very best in the future."
2061,100,100,1,1,3,1.0,1,2,1,89,0,0,10,320,88,3,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,"The room was just as pictured, very lovely! Sara was very accommodating and offered me the opportunity to leave my luggage there before check-in time. The closet revamped into a mini-kitchenette is such a great idea! I feel right at home in her place."
2062,90,82,1,1,2,1.0,1,1,1,100,0,0,0,5,96,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,"Jason was awesome! Communication was clear, place was fantastic, location was excellent. Place is cute and cozy with great access to the T and wonderful walk ability. Jason even left a great list with his recomendations. Check in and out was a breeze thanks to Jason''s very clear expectations/instructions. I highly recommend this spot for your travel needs."
2064,100,100,2,2,1,1.0,1,1,1,70,0,0,0,6,100,3,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,"Highly recommendable place to stay. Host( Hochiang ) is very friendly, place is clean, convenient location close to transportation. Hochiang  gave me much detailed and useful information that made my stay in Boston enjoyable."
2065,100,67,1,1,2,1.0,1,1,1,249,0,0,0,31,92,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,"The location is AMAZING. One block from the bay, one block from the main street in the Little Italy area. Walking distance from almost everything else."
2066,100,100,1,2,1,1.0,1,1,1,165,0,0,0,2,100,2,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"I had the pleasure to stay at Scott''s again and he welcomed me like an old friend. Given the private room, he appreciated my independence, but also invited me to take full advantage of the common areas, including the recently renovated outdoor space. I am looking forward to my next trip."
2067,100,100,2,2,1,1.0,1,1,1,85,0,0,0,2,100,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,Great room in a clean house!
2068,100,100,1,2,1,2.0,1,1,1,45,0,0,0,1,100,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,호스트는 제가 도착하였을 때는 없었지만 키를 잘 전달해주었습니다. 숙소는 설명과 일치하였고 호텔보다 깨끗했습니다! 제가 도착하기 전에 호스트가 설명을 잘 해주어서 별 문제없이 지낼 수있었습니다. 같이 집에서 지냈던 학생들도 친절하였고 제가 한달 동안 미국에서 잘 적응할 수 있게 해주었습니다.
2070,100,77,2,1,2,1.0,1,1,1,179,0,0,45,15,83,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,"We were out the majority of the time enjoying boston, however the one time we saw Jil she was a wonderful host and made us feel welcome. The listing was for the whole house however we stayed in one room (I believe there may have been another renter or two in the house). The room was plenty big for the price and the window unit kept us cool. We had a private bathroom."
2071,80,33,1,1,3,1.0,0,3,1,170,0,0,0,3,100,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,"Wes was very communicative via email and phone to make sure we could access the apartment and get settled in. This apartment is a phenomenal location on Comm Ave, walking distance to green line T stops, Copley Square, Newbury Street, Kenmore Square - basically perfectly located in Back Bay. The apartment was cozy and charming, great shower and kitchenette. The mattress is quite firm but very comfortable - not a problem for us. Also of note  is the décor which gave the room a charming character (grandfather clock, old paintings, wood floors). Overall this is a fantastic find and I would recommend to anyone visiting Boston."
2072,100,94,1,1,2,2.0,1,1,2,60,0,0,0,32,78,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,"Ricardo is a very friendly person, and the apartment has a perfect location in East Boston close to public transport to downtown and the airport. This specific room is relatively small, with a very crooked floor. I am sure some of the other rooms in the house are better though. We had a great time in Boston. "
